# stan_version_major = 2
# stan_version_minor = 27
# stan_version_patch = 0
# model = est_model7_model
# start_datetime = 2023-11-09 00:30:15 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 200
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 2
# data
#   file = /var/folders/ym/jhpnwhvd4p54fz414vlsdlsh0000gn/T/Rtmpvr9TMr/standata-5241528a13.json
# init = 2 (Default)
# random
#   seed = 3283
# output
#   file = /var/folders/ym/jhpnwhvd4p54fz414vlsdlsh0000gn/T/Rtmpvr9TMr/est_model7-202311090030-2-47f266.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /var/folders/ym/jhpnwhvd4p54fz414vlsdlsh0000gn/T/Rtmpvr9TMr/est_model7-profile-202311090030-2-236bf0.csv
# stanc_version = stanc3 v2.27.0
# stancflags = --include-paths=/Users/sahoko/GitHub/ANOVA-GP-model-selection/Code/Stan --name=est_model7_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha0,alpha1,alpha2,alpha3,sigma
-4101.77,0.556039,0.00865508,5,63,0,4110.55,4.50537,0.0912052,0.0998124,0.0457397,0.989171
-4098.88,0.99474,0.00524637,6,63,0,4102.67,4.48518,0.0805378,0.109094,0.0418288,0.991762
-4098.28,0.930154,0.00844514,6,63,0,4099.76,4.17894,0.0751379,0.149135,0.0385382,0.99834
-4098.2,0.483769,0.0117248,2,7,0,4100.03,4.21383,0.0757517,0.148961,0.038513,0.995186
-4099.14,0.953688,0.00610706,7,127,0,4100.6,4.17202,0.0704763,0.126711,0.0337125,0.995197
-4099.1,0.999787,0.00890314,6,95,0,4099.37,3.55568,0.076728,0.127562,0.047292,0.993438
-4099.92,0.841744,0.0142751,6,63,0,4101,5.11109,0.0642701,0.128235,0.0350728,0.988066
-4099.29,0.330539,0.0162049,4,17,0,4100.62,5.06806,0.0662268,0.125281,0.0340752,0.993588
-4101.32,0.82386,0.00615709,5,47,0,4102.97,5.22825,0.0674431,0.11829,0.03324,0.980007
-4100.47,0.999963,0.00674817,6,63,0,4102.73,4.59525,0.0544267,0.110371,0.0409665,0.984544
-4098.54,0.949075,0.0107198,6,63,0,4102.81,3.86342,0.0877761,0.126637,0.0397246,0.989797
-4098.46,0.987338,0.0152211,5,31,0,4099.04,3.64727,0.0759501,0.146346,0.0441201,1.00001
-4098.18,0.200035,0.0233213,2,5,1,4099.77,3.70718,0.0760279,0.14389,0.0455582,0.98998
-4098.53,0.982595,0.00691258,5,63,0,4100.93,3.82878,0.0845084,0.121877,0.042457,0.989984
-4099.99,0.978685,0.0104807,5,63,0,4102.4,4.85443,0.0727506,0.106503,0.0445074,0.993223
-4101.68,0.413882,0.0156922,4,15,0,4102.07,4.92211,0.0760469,0.106726,0.044531,0.982952
-4100.62,0.999876,0.00735697,5,31,0,4102.84,3.84509,0.0753379,0.107682,0.0422777,0.986036
-4100.36,0.885416,0.0114708,4,31,0,4104.58,4.48284,0.0656089,0.163841,0.0394424,0.990573
-4101.11,0.867209,0.014115,5,63,0,4102.39,4.07351,0.093246,0.120763,0.0534022,0.99051
-4101.85,0.318042,0.016705,3,13,1,4103.82,4.10534,0.0892868,0.120029,0.0563558,0.989236
-4100.52,0.989015,0.0065539,6,127,0,4104.22,4.4406,0.0602778,0.120804,0.0312808,0.998077
-4099.8,0.761128,0.00991093,6,63,0,4102.7,4.38137,0.0855089,0.125769,0.0396293,0.981397
-4099.64,0.866952,0.00948843,5,43,0,4101.96,3.9219,0.0653213,0.131219,0.0411163,1.00448
-4099.86,0.996913,0.0112021,5,31,0,4100.87,4.09856,0.0606029,0.13142,0.0421789,0.984477
-4100.27,0.14931,0.0170514,2,7,1,4105.6,4.19568,0.0603968,0.133514,0.0402365,1.00753
-4101.69,0.969308,0.00491152,5,47,0,4103.9,4.64283,0.0766076,0.14132,0.0420897,1.00954
-4100.42,0.988483,0.00708174,5,59,0,4102.46,3.48461,0.081292,0.146294,0.0372254,0.995444
-4099.9,0.962925,0.0105604,3,7,0,4100.77,3.52438,0.0822982,0.147427,0.0378002,0.999004
-4098.83,0.292099,0.0149318,4,15,0,4102.6,4.12653,0.0745835,0.15577,0.036252,0.990481
-4101.91,0.860006,0.00579191,5,31,0,4104.65,4.88324,0.0813149,0.157676,0.0337783,0.992259
-4101.98,0.904369,0.00672023,6,95,0,4106.11,4.26988,0.0656025,0.0992764,0.0332925,0.98865
-4102.59,0.776687,0.00847272,5,31,0,4104.74,5.75288,0.0712411,0.108391,0.0330337,1.00055
-4101.87,0.99521,0.00836554,4,31,0,4105.4,5.66781,0.0709781,0.0971709,0.028685,0.991561
-4106.65,0.371456,0.0124804,5,31,0,4112.3,5.52591,0.0444066,0.157863,0.0330753,0.997325
-4102.28,0.995864,0.00574002,5,31,0,4107.23,5.14341,0.0502491,0.14065,0.0305491,0.993801
-4103.06,0.967544,0.00855594,6,63,0,4105.11,5.40786,0.07188,0.0785406,0.0359909,0.989311
-4102.18,0.735917,0.0120543,5,31,0,4106.58,5.1733,0.0740368,0.0847159,0.035678,1.00398
-4099.84,0.984901,0.0110137,5,31,0,4103.48,5.0086,0.0588515,0.108725,0.0337024,0.984599
-4099.22,0.128347,0.0159555,3,15,0,4100.82,5.13618,0.0584329,0.108795,0.0334186,0.993751
-4098.85,0.985085,0.00476072,6,127,0,4102.68,4.37831,0.0663799,0.145989,0.039209,0.988362
-4099.64,0.906576,0.00690033,7,127,0,4101.5,4.21519,0.0683644,0.109731,0.045191,1.00503
-4099.18,0.967287,0.00863839,5,63,0,4102.15,5.12904,0.0612336,0.101041,0.0348104,0.995173
-4099.18,0.313735,0.771373,2,3,0,4100.65,5.12904,0.0612336,0.101041,0.0348104,0.995173
-4099.18,0,3.18637,1,1,0,4101.68,5.12904,0.0612336,0.101041,0.0348104,0.995173
-4100.46,0.899435,0.37204,3,7,0,4102.47,5.09393,0.0741604,0.133769,0.0316137,0.993435
-4099.79,0.909541,0.32643,3,7,0,4102.94,4.89425,0.0677601,0.116598,0.0438596,0.996892
-4097.98,0.980738,0.355237,3,7,0,4100.91,4.30733,0.0747931,0.116748,0.0382888,0.993733
-4099.62,0.764213,0.532591,2,3,0,4099.9,4.69229,0.0748473,0.11378,0.036945,1.00704
-4100.27,0.849197,0.444105,3,11,0,4104.42,3.20737,0.0950366,0.164421,0.0424664,0.985498
-4098.67,0.995056,0.493658,3,7,0,4100.93,3.61773,0.079498,0.129286,0.0489018,0.997779
-4098.67,0.0642723,0.887412,2,7,0,4101.07,3.61773,0.079498,0.129286,0.0489018,0.997779
-4100.11,0.995586,0.0860133,5,63,0,4101.69,3.98317,0.0673406,0.176512,0.0417439,0.992791
-4100.83,0.96336,0.158659,3,7,0,4102.91,4.29732,0.0678456,0.170967,0.0436728,0.990285
-4099.3,0.968242,0.266979,3,7,0,4102.8,4.16058,0.0665933,0.157631,0.0413595,0.988317
-4099.88,0.744487,0.458114,2,7,0,4103.94,3.65922,0.0708416,0.16212,0.0416402,1.00365
-4099.59,0.972615,0.389768,4,15,0,4101.53,4.01537,0.0820964,0.169678,0.035448,0.996111
