"","true_model","est_lmlik1","est_lmlik2","est_lmlik3","est_lmlik4","est_lmlik5","est_lmlik6","est_lmlik7","est_lmlik8","est_lmlik9","bridge_lmlik1","bridge_lmlik2","bridge_lmlik3","bridge_lmlik4","bridge_lmlik5","bridge_lmlik6","bridge_lmlik7","bridge_lmlik8","bridge_lmlik9"
"29",1,-9638.22,-9661.72,-9653.71,-9657.37,-9669.19,-9671.1,-9664.43,-9676.34,-9677.25,-9651.95958470697,-9685.63329666238,-9673.32877789587,-9678.52122038232,-9696.14383301243,-9698.99564322252,-9688.97747835838,-9706.2488559731,-9709.28394492189
"30",9,-31952.5,-31140.9,-31953.2,-31820.7,-31141.6,-30977.5,-31822.4,-30979.1,-10246,-32438.80488613,-31547.1303965111,-32440.6861350358,-32293.4267052404,-31548.9404299368,-31369.2693280587,-32296.2490698534,-31372.0962554964,-10265.1384657021
"31",7,-20315.7,-20325.5,-17442.3,-18224.3,-17456,-18239.2,-9693.69,-9721.2,-9748.98,-20354.0859315821,-20368.1607359049,-17467.9905521749,-18252.3959818195,-17484.7076295526,-18270.1367452188,-9710.37212361161,-9740.90726227456,-9776.04222396782
"32",5,-21559.3,-12750.8,-21347.5,-21564.8,-9719.49,-12778.3,-21354,-9754.77,-9792.82,-21607.4213403519,-12767.3118861445,-21394.5797802775,-21614.4098547485,-9735.43022782515,-12797.5826864256,-21401.9463642066,-9773.73200082576,-9820.85090102986
"33",7,-18198.3,-18214.3,-15879.3,-15970.7,-15904,-15997.9,-9779.83,-9819.26,-9843.73,-18225.5733349249,-18248.876872912,-15901.6974770764,-15992.8796091063,-15931.0613000952,-16024.2882944665,-9796.88720608328,-9840.79045104817,-9874.20516806061
"34",6,-22367.4,-21693.2,-22367.8,-16206,-21700.1,-9906.54,-16210.8,-9934.7,-9980.11,-22424.6636083999,-21743.8911861126,-22427.0573178196,-16227.618116504,-21752.7036337704,-9923.40204000147,-16234.6309483926,-9953.61696209338,-10009.1372909159
"35",1,-9452.11,-9479.65,-9463.05,-9471.31,-9481.22,-9488.38,-9473.5,-9488.5,-9490.38,-9465.72304399648,-9504.60240136529,-9484.02985241296,-9493.32865492953,-9509.8196655642,-9518.49952481726,-9499.39091549065,-9520.22695168885,-9524.68770795878
"36",5,-20158.7,-19263.6,-15221.7,-20168,-9870.02,-19279.6,-15248.3,-9905.44,-9943.3,-20196.2976293309,-19296.7219343002,-15241.8393128835,-20210.0856799053,-9886.49016858101,-19315.5316580767,-15271.1375470568,-9925.40297787186,-9973.52780047016
"37",3,-10747.5,-10774.2,-9787.19,-10763.3,-9828.38,-10780.5,-9815.91,-9853.28,-9869.74,-10761.6986045088,-10799.7510449629,-9802.75233701069,-10783.9374910621,-9850.01218092306,-10809.6330314276,-9833.77919994039,-9877.78162426895,-9900.83105291976
"38",3,-13318.9,-13336.1,-9680,-13331.9,-9721.73,-13342.3,-9706.08,-9745.09,-9757.64,-13335.9813401542,-13360.6746063173,-9695.65156895971,-13355.1673453665,-9741.43836114055,-13370.9964362707,-9724.30825366405,-9768.41739086474,-9786.82247593168
